[WARN] [Sat May 13 16:44:08 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=100]: request is dir 
[WARN] [Sat May 13 16:44:22 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:27 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:30 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:30 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:31 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:31 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:31 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:31 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:32 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:32 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:32 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:32 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:33 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
[WARN] [Sat May 13 16:44:42 2023] [filename=./test/../epollbase/../http/myhttp.hpp, line=87]: no such file 
